The_country_of_destination,Value_million_riyals,Weight_tons
Cuba,1.098341,438.536708
Curaçao,1.007189162,49.6383
South Korea,15500.24464,1078292.818
North Korea,15.49716218,1867.297289
Costa Rica,147.3448513,15178.45056
Colombia,145.3266101,68010.37065
Democratic Republic of the Congo,7.230442,454.775
Republic of the Congo,1984.487383,88287.49201
Kenya,361.9991482,48130.18984
Latvia,581.4032019,625026.256
Laos,27.56838507,51317.82898
Lebanon,1107.175647,113780.7892
Lithuania,1232.550313,1204094.917
Luxembourg,219.3240301,18238.48194
Liberia,0.326771688,14.623
Libya,88.876817,68272.861
Liechtenstein,1.314507192,26.32129
Lesotho,1.622332332,137.758459
Martinique,0.003045,0.097
Macao,2.180333,58.384955
Maldives,1.948888424,100.21256
Malta,224.4394922,101586.2138
Mali,0.149356,13.492
Malaysia,4064.937675,530816.5753
Myanmar,275.6193954,29881.77535
Mayotte,0,0
Madagascar,14.360275,1382.990165
Egypt,10102.87804,4870882.604
North Macedonia,11.78736548,652.066319
Mexico,3669.655154,69085.526
Malawi,6.289634315,941.627
Regions of northern France,0.170226,42.8314
Mongolia,2.790908742,672.44135
Mauritania,12.33717917,1062.53444
Mauritius,12.42106333,924.568745
Mozambique,5.819396,2013.359034
Moldova,15.22628058,1439.420513
Monaco,2.952171,30.10951
Montserrat,6.20917E-05,0.00009
Federated States of Micronesia,0.005966,0.06402
Namibia,9.203432284,1269.351615
Nauru,0.686526,31.87525
Niue,0.323401,1.622
Nepal,2.071244459,60.62543
Netherlands Antilles,7.152405,570.9963
Nigeria,122.8448155,59584.90228
Nicaragua,5.796038303,366.83913
New Zealand,1831.340456,190768.5999
Haiti,1.193250544,20.86625
Hungary,1282.433933,76616.64083
Netherlands,8668.23224,1132385.918
Holy See,0.003928,0.061
Hong Kong,3048.52134,20664.87141
Honduras,15.77465848,631.476297
